date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-11-19,1800.00000000,1775.00000000,1600.00000000,1890.00000000,347618.58991004,195.60098415,534,1777.18221317
2013-11-20,1752.24010000,1694.99000000,1001.00000000,1775.00000000,215209.34882658,138.62587891,474,1552.44713699
2013-11-21,1693.99999000,1808.99000000,1629.76250000,1829.99000000,165743.47636068,94.22085432,333,1759.09545245
2013-11-22,1808.99000000,1925.00001000,1789.50000000,1950.00000000,177762.28076647,94.91973037,433,1872.76428276
2013-11-23,1925.00001000,1965.00000000,1895.00010000,2001.00000000,92116.24728463,46.78638890,198,1968.86849894
2013-11-24,1984.99900000,1930.00000000,1703.00000000,1988.00000000,137220.37418321,72.35792010,204,1896.41125635
2013-11-25,1930.00000000,1980.00000000,1879.50000000,2020.00000000,195016.67893794,99.80480547,339,1953.98085312
2013-11-26,1979.00000000,2219.99989999,1951.01000000,2230.00000000,375841.67559729,177.12081943,682,2121.95086273
2013-11-27,2200.00000000,2849.99969000,2136.00000000,2850.00000000,516624.14903558,205.72347442,849,2511.25522010
2013-11-28,2830.50000000,3398.79999000,2570.00000000,3450.00000000,883350.68802542,282.89056914,1184,3122.58797000
2013-11-29,3300.00000000,3250.00000000,2750.00000000,3600.00000000,686094.69160122,211.05313142,1111,3250.81502930
2013-11-30,3250.00000000,3189.00000000,3003.00000000,3391.00000000,239398.59247995,73.93770507,472,3237.84180552
2013-12-01,3125.00000000,2990.00000000,2300.00000000,3191.99999000,538259.68778253,196.13514323,869,2744.33066363
2013-12-02,3000.00000000,2899.99999000,2849.50000000,3100.00000000,169717.31715526,57.06750523,357,2973.97470716
2013-12-03,2899.99979000,2944.99999000,2806.00001000,3000.00000000,244756.80321818,82.46987552,363,2967.83281986
2013-12-04,2944.99998000,2962.10000000,2914.00000000,3099.99999000,325462.08662730,108.55162063,482,2998.22411437
2013-12-05,2999.50000000,2750.00000000,2551.00000000,3150.00000000,390702.73972007,137.57172224,705,2839.99308403
2013-12-06,2750.00000000,2150.00000000,2150.00000000,2950.00000000,505630.14751756,200.57891402,736,2520.85394912
2013-12-07,2101.00000000,1700.00000000,1650.42100000,2659.98999999,371670.71304013,182.93898411,553,2031.66490099
2013-12-08,1705.00000000,2116.00000000,1600.00000000,2180.00000000,164944.57979746,82.45868193,263,2000.33005545
2013-12-09,2116.98000000,2375.00000000,2101.00000000,2498.12340000,178555.64519032,79.16771380,300,2255.40989624
